Model,MSE,RMSE,CI,R2,MAE,Max_Error
Baseline,1.4894177,1.220417,0.5715439871986642,-0.9173094034194946,1.134955644607544,4.3245087
Experiment,2.194335,1.4813288,0.7422565832956483,-1.8247408866882324,1.1531181335449219,6.310164
